bs_year,name_raw,month_raw,day_raw,match_id,parse_confidence,line
2081,(क) नव वर्ष,वैशाख,१,bs-new-year,high,(क) नव वर्ष - वैशाख १ गते शनिबार ।
2081,(ख) रामनवमी,वैशाख,५,ram-navami,high,(ख) रामनवमी - वैशाख ५ गते बुधबार ।
2081,उभौली पर्व,जेठ,१०,ubhauli,high,उभौली पर्व - जेठ १० गते बिहीबार ।
2081,(घ) रक्षाबन्धन,भदौ,३,janai-purnima,high,(घ) रक्षाबन्धन - भदौ ३ गते सोमबार ।
2081,(ङ) श्रीकृष्ण जन्माष्टमी,भदौ,१०,krishna-janmashtami,high,(ङ) श्रीकृष्ण जन्माष्टमी - भदौ १० गते सोमबार ।
2081,(च) घटस्थापना,असोज,१७,dashain,high,(च) घटस्थापना - असोज १७ गते बिहीबार |
2081,(झ) छठ पर्व,कात्तिक,२२,chhath,high,(झ) छठ पर्व - कात्तिक २२ गते बिहीबार।
2081,(ठ) तमु ल्होसार,पुस,१५,tamu-lhosar,high,(ठ) तमु ल्होसार - पुस १५ गते सोमबार |
2081,(ढ) सोनम ल्होसार,माघ,१७,sonam-lhosar,high,(ढ) सोनम ल्होसार - माघ १७ गते बिहीबार।
2081,(ण) महाशिवरात्री,फागुन,१४,shivaratri,high,(ण) महाशिवरात्री - फागुन १४ गते बुधबार ।
2081,(क) गाईजात्रा,भदौ,४,gai-jatra,high,(क) गाईजात्रा - भदौ ४ गते मङ्गलबार (देशभरका नेवार
2081,वसन्त पञ्चमी,माघ,२१,saraswati-puja,high,वसन्त पञ्चमी - माघ २१ गते सोमबार ।
2081,(ख) इन्द्रजात्रा,असोज,१,indra-jatra,high,(ख) इन्द्रजात्रा - असोज १ गते मङ्गलबार ।
2081,(घ) घोडेजात्रा,चैत,१६,ghode-jatra,high,(घ) घोडेजात्रा - चैत १६ गते शनिबार |
2081,(क) बुद्ध जयंती,जेठ,१०,buddha-jayanti,high,(क) बुद्ध जयंती - जेठ १० गते बिहीबार ।
2081,लक्ष्मी पूजा,कात्तिक,१५,,medium,लक्ष्मी पूजा- कात्तिक १५गते बिहीबार |
2081,भाइ टीका/किजा:पूजा,कात्तिक,१८,,medium,भाइ टीका/किजा:पूजा - कात्तिक १८ गते
2081,२५),पुस,१०,,medium,२५) - पुस १० गते बुधबार ।
2081,पुन्हि (ज्यापु दिवस),मङ्सिर,३०,,medium,पुन्हि (ज्यापु दिवस) - मङ्सिर ३० गते आइतबार
2081,ल्होसार,फागुन,१६,,medium,ल्होसार- फागुन १६ गते शुक्रबार ।
2081,(क)४ हरितालिका (तीज) व्रत,भदौ,२१,,medium,(क)४ हरितालिका (तीज) व्रत - भदौ २१ गते शुक्रबार ।
2081,(ख) जितिया:पर्व,असोज,९,,medium,(ख) जितिया:पर्व - असोज ९ गते बुधबार (जितिया पर्व मनाउने
2081,(ख) गणतन्त्र दिवस,जेठ,१५,,medium,(ख) गणतन्त्र दिवस - जेठ १५ गते मङ्गलबार।
2081,(ग) संविधान दिवस (राष्ट्रिय दिवस),असोज,३,,medium,(ग) संविधान दिवस (राष्ट्रिय दिवस)-असोज ३ गते बिहीबार ।
2081,(घ) सहिद दिवस,माघ,१६,,medium,(घ) सहिद दिवस - माघ १६ गते बुधबार |
2081,(ङ) राष्ट्रिय प्रजातन्त्र दिबस,फागुन,७,,medium,(ङ) राष्ट्रिय प्रजातन्त्र दिबस - फागुन ७ गते बुधबार |
2081,(ख) पृथ्वी जयंती (राष्ट्रिय एकता दिवस),पुस,२७,,medium,(ख) पृथ्वी जयंती (राष्ट्रिय एकता दिवस) - पुस २७ गते
2081,(क) फागुनन्द जयंती,कात्तिक,२५,,medium,(क) फागुनन्द जयंती - कात्तिक २५ गते आइतबार
2081,(ग) गुरु नानक जयंती,कात्तिक,३०,,medium,(ग) गुरु नानक जयंती - कात्तिक ३० गते शुक्रबार
2081,(ख) निजामती सेवा दिवस,भदौ,२२,,medium,(ख) निजामती सेवा दिवस - भदौ २२ गते शनिबार ।
