bs_year,name_raw,month_raw,day_raw,parse_confidence,line
2083,(क) नव वर्ष,वैशाख,१,high,(क) नव वर्ष - वैशाख १ गते मङ्गलबार |
2083,(ग) रक्षाबन्धन,भदौ,१२,high,(ग) रक्षाबन्धन - भदौ १२ गते शुक्रबार |
2083,(घ) श्रीकृष्ण जन्माष्टमी,भदौ,१९,high,(घ) श्रीकृष्ण जन्माष्टमी - भदौ १९ गते शुक्रबार ।
2083,(ङ) घटस्थापना,असोज,२५,high,(ङ) घटस्थापना - असोज २५ गते आइतबार ।
2083,(छ) तिहार बिदा,कात्तिक,२२,high,(छ) तिहार बिदा - कात्तिक २२ गते आइतबारदेखि
2083,(ज) छठ पर्व,कात्तिक,२९,high,(ज) छठ पर्व - कात्तिक २९ गते आइतबार्‌ |
2083,(ट) तमू ल्होसार,पुस,१५,high,(ट) तमू ल्होसार - पुस १५ गते बुधबार |
2083,(ड) सोनम ल्होछार,माघ,२४,high,(ड) सोनम ल्होछार - माघ २४ गते आइतबार ।
2083,(ढ) महाशिवरात्री,फागुन,२२,high,(ढ) महाशिवरात्री - फागुन २२ गते शनिबार |
2083,(ण) ग्याल्पो - ल्होसार,फागुन,२५,high,(ण) ग्याल्पो - ल्होसार - फागुन २५ गते
2083,(क) गाईजात्रा,भदौ,१३८,high,(क) गाईजात्रा - भदौ १३८ गतेःशनिबार (देशभरका
2083,(क) हरितालिका (तीज) व्रत,भदौ,२९,high,(क) हरितालिका (तीज) व्रत - भदौ २९ गते सोमबार।
2083,वसन्त पञ्चमी,माघ,२८,high,वसन्त पञ्चमी - माघ २८ गते बिहीबार |
2083,(क) गाईजात्रा,भदौ,१३,high,(क) गाईजात्रा - भदौ १३ गते शनिबार ।
2083,(ख) इन्द्रजात्रा,असोज,९,high,(ख) इन्द्रजात्रा - असोज ९ गते शुक्रबार ।
2083,(घ) घोडेजात्रा,चैत,२३,high,(घ) घोडेजात्रा - चैत २३ गते मङ्गलबार ।
2083,(क) बुद्ध जयंती,वैशाख,१८,high,(क) बुद्ध जयंती - वैशाख १८ गते शुक्रबार ।
2083,(च) दशैं बिदा,असोज,३१,low,(च) दशैं बिदा - असोज ३१ गते शनिबारदेखि
2083,"पर्व, योमरी पुन्हि, ज्यापू दिवस",पुस,९,medium,"पर्व, योमरी पुन्हि, ज्यापू दिवस - पुस ९ गते"
2083,(डिसेम्बर २५),पुस,१०,medium,(डिसेम्बर २५) - पुस १० गते शुक्रबार ।
2083,(ख) गोरा पर्व,भदौ,१९,medium,(ख) गोरा पर्व - भदौ १९ गते शुक्रबार ।
2083,(ग) दुरा म्हैप्रु नकुमा,पुस,१५,medium,(ग) दुरा म्हैप्रु नकुमा - पुस १५ गते बुधबार
2083,(ख) जितिया पर्व,असोज,१८,medium,(ख) जितिया पर्व - असोज १८ गते आइतबार (जितिया
2083,(ग) संविधान दिवस (राष्ट्रिय दिवस),असोज,३,medium,(ग) संविधान दिवस (राष्ट्रिय दिवस) - असोज ३ गते
2083,(घ) सहिद दिवस,माघ,१६,medium,(घ) सहिद दिवस - माघ १६ गते शनिबार ।
2083,(ङ) राष्ट्रिय प्रजातन्त्र दिवस,फागुन,७,medium,(ङ) राष्ट्रिय प्रजातन्त्र दिवस - फागुन ७ गते शुक्रबार ।
2083,(क) फागुनन्द जयंती,कात्तिक,२५,medium,(क) फागुनन्द जयंती - कात्तिक २५ गते
2083,(ख) निजामती सेवा दिवस,भदौ,२२,medium,(ख) निजामती सेवा दिवस - भदौ २२ गते सोमबार ।
2083,(ग) ८ जेनजी सहिद दिवस,भदौ,२३,medium,(ग) ८ जेनजी सहिद दिवस - भदौ २३ गते मङ्गलबार ।
