bs_year,name_raw,month_raw,day_raw,parse_confidence,line
2079,(क) नव वर्ष,वैशाख,१,high,(क) नव वर्ष - वैशाख १ गते बिहीबार ।
2079,(ग) रक्षाबन्धन,साउन,२७,high,(ग) रक्षाबन्धन - साउन २७ गते शुक्रबार ।
2079,(ङ) घटस्थापना,असोज,१०,high,(ङ) घटस्थापना - असोज १० गते सोमबार ।
2079,(च) छठ पर्व,कात्तिक,१३,high,(च) छठ पर्व - कात्तिक १३ गते आइतबार ।
2079,(झ) तमु ल्होसार,पुस,१५,high,(झ) तमु ल्होसार - पुस १५ गते शुक्रबार ॥
2079,(ठ) महाशिवरात्री,फागुन,६,high,(ठ) महाशिवरात्री - फागुन ६ गते शनिबार ।
2079,(क) गाईजात्रा,साउन,२७,high,(क) गाईजात्रा - साउन २७ गते शुक्रबार (देशभरका नेवार
2079,(क) हरितालिका(तीज) व्रत,भदौ,१४,high,(क) हरितालिका(तीज) व्रत- भदौ १४ गते मङ्गलबार |
2079,(ख) इन्द्रजात्रा,भदौ,२४,high,(ख) इन्द्रजात्रा - भदौ २४ गते शुक्रबार ।
2079,(घ) घोडेजात्रा,चैत,७,high,(घ) घोडेजात्रा- चैत ७ गते मङ्गलबार |
2079,बुद्ध जयंती,जेठ,२,high,बुद्ध जयंती - जेठ २ गते सोमबार |
2079,(वैशाखरपूर्णिमा),जेठ,२,medium,(वैशाखरपूर्णिमा) - जेठ २ गते सोमबार ।
2079,(gq). श्रीकृष्ण जन्माष्टमी,भदौ,३,medium,(gq). श्रीकृष्ण जन्माष्टमी - भदौ ३ गते शुक्रबार।
2079,२५),पुस,१०,medium,२५) - पुस १० गते आइतबार ।
2079,(ट) सोनाम ल्होसार,माघ,८,medium,(ट) सोनाम ल्होसार - माघ ८ गते आइतबार ।
2079,ल्होसार,फागुन,९,medium,ल्होसार - फागुन ९ गते मङ्गलबार ।
2079,(ख) गोरा पर्व,भदौ,१८,medium,(ख) गोरा पर्व - भदौ १८ गते शनिबार ।
2079,(ख) जितिया पर्व,असोज,२,medium,(ख) जितिया पर्व - असोज २ गते आइतबार (जितिया पर्व
2079,(क) लक्ष्मीपूजा,कात्तिक,७,medium,(क) लक्ष्मीपूजा - कात्तिक ७ गते TAA |
2079,(ख) गाई तिहार,कात्तिक,८,medium,(ख) गाई तिहार - कात्तिक ८ गते मङ्गलबार ।
2079,(a) भाइटीका/किजापूजा,कात्तिक,१०,medium,(a) भाइटीका/किजापूजा - कात्तिक १० गते बिहीबार ।
2079,(ख) गणतन्त्र दिवस,जेठ,१५,medium,(ख) गणतन्त्र दिवस - जेठ १५ गते आइतबार |
2079,(ग) संविधान दिवस (राष्ट्रिय दिवस),असोज,३,medium,(ग) संविधान दिवस (राष्ट्रिय दिवस) - असोज ३ गते
2079,(घ) राष्ट्रिय प्रजातन्त्र दिवस,फागुन,७,medium,(घ) राष्ट्रिय प्रजातन्त्र दिवस - फागुन ७ गते आइतबार ।
2079,(ङ) अन्तर्राष्ट्रिय महिला दिवस (मार्च ८),फागुन,२४,medium,(ङ) अन्तर्राष्ट्रिय महिला दिवस (मार्च ८) - फागुन २४ गते
2079,(क) फागुनन्द जयंती,कात्तिक,२५,medium,(क) फागुनन्द जयंती - कात्तिक २५ गते शुक्रबार
2079,(ख) गुरु नानक जयंती,कात्तिक,२२,medium,(ख) गुरु नानक जयंती - कात्तिक २२ गते
2079,(ख) निजामती सेवा दिवस,भदौ,२२,medium,(ख) निजामती सेवा दिवस - भदौ २२ गते बुधबार |
2079,(ग) राष्ट्रिय एकता दिवस,पुस,२७,medium,(ग) राष्ट्रिय एकता दिवस - पुस २७ गते बुधबार |
2079,(a) शहीद दिवस,माघ,१६,medium,(a) शहीद दिवस - माघ १६ गते सोमबार।
