bs_year,name_raw,month_raw,day_raw,parse_confidence,line
2078,(क) नव वर्ष,वैशाख,१,high,(क) नव वर्ष - वैशाख १ गते बुधबार।
2078,(ख) रक्षाबन्धन,भदौ,६,high,(ख) रक्षाबन्धन - भदौ ६ गते आइतबार।
2078,(ग) घटस्थापना,असोज,२१,high,(ग) घटस्थापना - असोज २१ गते बिहीबार।
2078,(घ) छठ पर्व,कात्तिक,२४,high,(घ) छठ पर्व - कात्तिक २४ गते बुधबार।
2078,(च) महाशिवरात्री,फागुन,१७,high,(च) महाशिवरात्री - फागुन १७ गते मङ्गलबार |
2078,(छ) तमू ल्होसार,पुस,१५,high,(छ) तमू ल्होसार - पुस १५ गते बिहीबार |
2078,(ज) सोनम ल्होसार,माघ,१९,high,(ज) सोनम ल्होसार - माघ १९ गते बुधबार ।
2078,(क) हरितालिका (तीज) व्रत,भदौ,२४,high,(क) हरितालिका (तीज) व्रत - भदौ २४ गते बिहीबार
2078,(क) गाईजात्रा,भदौ,७,high,(क) गाईजात्रा - भदौ ७ गते सोमबार।
2078,(ख) इन्द्रजात्रा,असोज,३,high,(ख) इन्द्रजात्रा - असोज ३ गते आइतबार।
2078,(घ) घोडेजात्रा,चैत,१८,high,(घ) घोडेजात्रा - चैत १८ गते शुक्रबार ।
2078,बुद्ध जयंती,जेठ,१२,high,बुद्ध जयंती - जेठ १२ गते बुधबार।
2078,(ख) गोरा पर्व,भदौ,१४,medium,(ख) गोरा पर्व - भदौ १४ गते सोमबार।
2078,ल्होसार,फागुन,१९,medium,ल्होसार - फागुन १९ गते बिहीबार।
2078,(ख) जितिया पर्व,असोज,१३,medium,(ख) जितिया पर्व - असोज १३ गते बुधबार (जितिया पर्व
2078,(क) लक्ष्मी पूजा,कात्तिक,१८,medium,(क) लक्ष्मी पूजा - कात्तिक १८ गते बिहीबार ।
2078,(ग) भाइटीका/किजापूजा,कात्तिक,२०,medium,(ग) भाइटीका/किजापूजा - कात्तिक २० गते शनिबार ।
2078,(a) गणतन्त्र दिवस,जेठ,१५,medium,(a) गणतन्त्र दिवस - जेठ १५ गते शनिबार ।
2078,(ग) संविधान दिवस (राष्ट्रिय दिवस),असोज,३,medium,(ग) संविधान दिवस (राष्ट्रिय दिवस) - असोज ३ गते
2078,(घ) राष्ट्रिय प्रजातन्त्र दिवस,फागुन,७,medium,(घ) राष्ट्रिय प्रजातन्त्र दिवस - फागुन ७ गते
2078,(क) फागुनन्द जयंती,कात्तिक,२५,medium,(क) फागुनन्द जयंती - कात्तिक २५ गते बिहीबार
2078,(ख) गुरु नानक जयंती,मङ्सिर,३,medium,(ख) गुरु नानक जयंती - मङ्सिर ३ गते शुक्रबार
2078,(ख) निजामती सेवा दिवस,भदौ,२२,medium,(ख) निजामती सेवा दिवस - भदौ २२ गते मङ्गलबार ।
2078,(ग) राष्ट्रिय एकता दिवस,पुस,२७,medium,(ग) राष्ट्रिय एकता दिवस - पुस २७ गते मङ्गलबार ।
2078,(घ) शहीद दिवस,माघ,१६,medium,(घ) शहीद दिवस - माघ १६ गते आइतबार।
